player_display_name,position,team,opponent_team,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
Julius Chestnut,RB,TEN,IND,0,0,2,26,0,0,0,0,0
John Metchie III,WR,PHI,LA,0,0,0,0,0,1,1,8,0
Hassan Haskins,RB,LAC,DEN,0,0,0,0,0,0,0,0,0
Tucker Fisk,TE,LAC,DEN,0,0,0,0,0,1,0,0,0
Alec Pierce,WR,IND,TEN,0,0,0,0,0,5,4,67,0
Jalen Tolbert,WR,DAL,CHI,0,0,0,0,0,6,3,24,0
Garrett Wilson,WR,NYJ,TB,0,0,0,0,0,13,10,84,1
Jahan Dotson,WR,PHI,LA,0,0,0,0,0,3,1,7,0
Trey McBride,TE,ARI,SF,0,0,0,0,0,8,5,43,1
Velus Jones Jr.,RB,NO,SEA,0,0,0,0,0,0,0,0,0
Brian Robinson,RB,SF,ARI,0,0,2,22,0,0,0,0,0
KaVontae Turpin,WR,DAL,CHI,0,0,1,4,0,3,2,64,0
Chig Okonkwo,TE,TEN,IND,0,0,0,0,0,6,5,66,0
Romeo Doubs,WR,GB,CLE,0,0,0,0,0,2,2,25,0
Calvin Austin III,WR,PIT,NE,0,0,0,0,0,5,3,34,1
Kyren Williams,RB,LA,PHI,0,0,20,94,0,3,2,18,1
Zamir White,RB,LV,WAS,0,0,5,19,0,2,1,4,0
Jake Ferguson,TE,DAL,CHI,0,0,0,0,0,14,13,82,0
Charlie Kolar,TE,BAL,DET,0,0,0,0,0,3,2,22,0
Skyy Moore,WR,SF,ARI,0,0,0,0,0,1,1,10,0
Tyquan Thornton,WR,KC,NYG,0,0,0,0,0,9,5,71,1
Daniel Bellinger,TE,NYG,KC,0,0,0,0,0,1,1,6,0
Wan'Dale Robinson,WR,NYG,KC,0,0,0,0,0,4,1,26,0
Breece Hall,RB,NYJ,TB,0,0,9,21,0,6,4,31,0
Kenneth Walker III,RB,SEA,NO,0,0,16,38,2,1,1,12,0
Xavier Smith,WR,LA,PHI,0,0,0,0,0,0,0,0,0
Dontayvion Wicks,WR,GB,CLE,0,0,0,0,0,4,2,21,0
Zavier Scott,RB,MIN,CIN,0,0,8,30,0,1,1,20,0
Malik Heath,WR,GB,CLE,0,0,0,0,0,0,0,0,0
Brady Russell,FB,SEA,NO,0,0,0,0,0,0,0,0,0
Nikko Remigio,WR,KC,NYG,0,0,1,11,0,0,0,0,0
Bijan Robinson,RB,ATL,CAR,0,0,13,72,0,6,5,39,0
Jaxon Smith-Njigba,WR,SEA,NO,0,0,0,0,0,6,5,96,1
Quentin Johnston,WR,LAC,DEN,0,0,0,0,0,9,6,89,0
Luke Schoonmaker,TE,DAL,CHI,0,0,0,0,0,1,1,5,0
Kendre Miller,RB,NO,SEA,0,0,7,27,0,2,2,9,0
Tank Bigsby,RB,PHI,LA,0,0,0,0,0,0,0,0,0
Michael Wilson,WR,ARI,SF,0,0,0,0,0,2,1,5,0
Tre Tucker,WR,LV,WAS,0,0,1,4,0,9,8,145,3
Derius Davis,WR,LAC,DEN,0,0,1,2,0,0,0,0,0
Charlie Jones,WR,CIN,MIN,0,0,0,0,0,0,0,0,0
Chase Brown,RB,CIN,MIN,0,0,10,3,0,5,4,17,0
Parker Washington,WR,JAX,HOU,0,0,0,0,0,11,4,34,0
